id,cost,city,year,brand,model,date,engine,power,gear,sWheel,probeg
468260668,1200000,Волгодонск,2014,Renault,Fluence,27.06.2024,"бензин, 1.6 л",106,передний,левый,188000
606427678,750000,Гуково,2005,Volkswagen,Passat,06.06.2024,"бензин, 2.0 л",150,передний,левый,224262
911836082,550000,Донецк,2005,Skoda,Superb,26.06.2024,"бензин, 1.8 л",150,передний,левый,345000
307373323,1000000,Донецк,2011,Ford,Focus,26.06.2024,"бензин, 2.0 л",150,передний,левый,130500
322845548,215000,Большая Мартыновка,2003,Лада,2110,06.06.2024,"бензин, 1.5 л",78,передний,,260000
403436686,820000,Таганрог,2009,УАЗ,Патриот,25.06.2024,"бензин, 2.7 л",128,4WD,левый,75000
894941497,1080000,Аксай,2008,SsangYong,Rexton,25.06.2024,"дизель, 2.7 л",163,4WD,левый,197000
53533252,1050000,Ростов-на-Дону,2009,Hyundai,Elantra,14.06.2024,"бензин, 1.6 л",122,передний,левый,159000
389683617,2750000,Ростов-на-Дону,2011,BMW,X6,24.06.2024,"бензин, 3.0 л",306,4WD,левый,81000
652097360,1290000,Ростов-на-Дону,2018,Toyota,Roomy,24.06.2024,"бензин, 1.0 л",98,передний,правый,74000
558077077,4200000,Ростов-на-Дону,2022,Ford,Edge,22.06.2024,"бензин, 2.0 л",250,4WD,левый,71100
499282918,600000,Донецк,2007,Ford,Focus,20.06.2024,"бензин, 1.8 л",125,передний,левый,237000
585349113,410000,Ростов-на-Дону,2010,Daihatsu,Mira,21.06.2024,"бензин, 0.7 л",58,передний,правый,265000
938701142,1270000,Таганрог,2010,Volkswagen,Tiguan,21.06.2024,"бензин, 2.0 л",200,4WD,левый,151000
172851645,1980000,Таганрог,2018,Hyundai,Sonata,21.06.2024,"бензин, 2.4 л",188,передний,левый,56000
51399325,1750000,Волгодонск,2014,Honda,Vezel,17.06.2024,"бензин, 1.5 л, гибрид, ГБО",132,передний,правый,125000
678195881,380000,Ростов-на-Дону,2008,Лада,2114 Самара,20.06.2024,"бензин, 1.6 л",80,передний,левый,166134
901426670,1300000,Волгодонск,2021,Лада,Веста,20.06.2024,"бензин, 1.6 л",106,передний,левый,47500
149624187,3250000,Донецк,2020,Volkswagen,Tiguan Allspace,04.06.2024,"бензин, 2.0 л",184,4WD,левый,33000
162987446,1550000,Новочеркасск,2012,Toyota,Wish,19.06.2024,"бензин, 1.8 л",130,4WD,правый,183000
827356070,4400000,Каменск-Шахтинский,0,Unknown,Unknown,19.06.2024,"бензин, 4.4 л",449,4WD,левый,116000
516097336,2120000,Ростов-на-Дону,2015,Toyota,Camry,17.06.2024,"бензин, 2.0 л",150,передний,левый,198814
232765846,300000,Шахты,1980,УАЗ,Буханка,16.06.2024,"бензин, 2.4 л",,4WD,левый,10000
614912961,4800000,Ростов-на-Дону,2017,BMW,X5,14.06.2024,"бензин, 3.0 л",306,4WD,левый,110000
170759345,1599999,Таганрог,2013,Toyota,Camry,12.06.2024,"бензин, 2.0 л",148,передний,левый,255000
933626604,1735000,Ростов-на-Дону,2018,Toyota,Town Ace,12.06.2024,"бензин, 1.5 л",97,4WD,правый,179000
570060853,7777777,Донецк,2022,Toyota,Land Cruiser Prado,26.05.2024,"бензин, 4.0 л",249,4WD,левый,25000
299220231,2000000,Ростов-на-Дону,2020,Kia,Ceed,26.05.2024,"бензин, 1.6 л",128,передний,левый,56000
53003015,2850000,Ростов-на-Дону,2018,Hyundai,Tucson,23.06.2024,"дизель, 2.0 л",186,передний,левый,51000
53002566,2700000,Ростов-на-Дону,2019,Kia,K3,23.06.2024,"бензин, 1.6 л",128,передний,левый,92000
745556296,2900000,Ростов-на-Дону,2019,Kia,Seltos,23.06.2024,"бензин, 1.6 л",177,передний,левый,70000
374508723,1300000,Каменск-Шахтинский,2012,BMW,X1,23.05.2024,"дизель, 2.0 л",184,4WD,левый,169821
415455129,400000,Шимановск,2000,Toyota,Cresta,27.06.2024,"бензин, 2.0 л",160,4WD,правый,300000
415509121,4269900,Тула,0,Unknown,Unknown,27.06.2024,"бензин, 2.0 л",226,4WD,левый,
415283000,1600000,Нюрба,2012,Land,Rover Defender,27.06.2024,"дизель, 2.2 л",122,4WD,левый,146000
415292969,1025000,Челябинск,2016,Nissan,Wingroad,27.06.2024,"бензин, 1.5 л",109,передний,правый,167000
415349370,2495000,Казань,2024,Geely,Coolray,27.06.2024,"бензин, 1.5 л",172,передний,левый,22
547920440,2121500,Москва,2017,Volkswagen,Tiguan,27.06.2024,"бензин, 1.4 л",150,передний,левый,94301
414634839,2339900,Казань,2023,Changan,CS35 Plus,27.06.2024,"бензин, 1.4 л",150,передний,левый,
414858829,2600000,Миасс,2022,Kia,Cerato,27.06.2024,"бензин, 2.0 л",150,передний,левый,19000
427343370,2489990,Азнакаево,2023,Geely,Emgrand,27.06.2024,"бензин, 1.5 л",122,передний,левый,
426344403,620000,Ростов-на-Дону,2008,Hyundai,Accent,27.06.2024,"бензин, 1.5 л",102,передний,левый,243000
426357485,3898000,Санкт-Петербург,2023,Chery,Tiggo 8 Pro Max,27.06.2024,"бензин, 2.0 л",197,4WD,левый,
425961200,3200000,Кызыл,2016,Lexus,ES300h,27.06.2024,"бензин, 2.5 л, гибрид",161,передний,левый,135000
425997598,1750000,Краснодар,2014,Kia,Sportage,27.06.2024,"бензин, 2.0 л",150,передний,левый,62000
426073954,900000,Иркутск,2007,Toyota,Corolla Fielder,27.06.2024,"бензин, 1.8 л",136,передний,,
